Punto;Y;X;VelocidadMaxima
1;6.246266;-75.575249;40
2;6.276523;-75.572466;40
3;6.248075;-75.580556;80
4;6.265647;-75.574965;40
5;6.213158;-75.576285;40
6;6.214926;-75.581648;40
7;6.263455;-75.596617;40
8;6.273325;-75.593252;60
9;6.195019;-75.579353;60
10;6.25115;-75.574879;60
11;6.270326;-75.573833;80
12;6.216938;-75.586032;40
13;6.250636;-75.602294;40
14;6.283419;-75.583543;40
15;6.257624;-75.571519;40
16;6.249095;-75.564686;60
17;6.265257;-75.572565;80
18;6.258248;-75.570606;40
19;6.263899;-75.563307;60
20;6.213696;-75.578368;80
